date,agent,strategy,expected_utility,cooperate_utility,compete_utility,observe_utility,independent_utility,reason,reputation,influence_score,pagerank,friend_count,visible_messages,return_to_date,graph_density
2021-05-14,MomentumAgent,cooperate,0.38909090909090915,0.38909090909090915,0.28883414556802,0.18272727272727274,0.3109090909090909,好友 4、可见消息 0、声誉 0.50，合作可提高信息融合。,0.5,0.0,0.04992867679919748,4,0,0.0,0.45454545454545453
2021-05-14,MeanReversionAgent,compete,0.4088448979430143,0.2890909090909091,0.4088448979430143,0.18272727272727274,0.3109090909090909,PageRank 0.050、收益 +0.00%，竞争可扩大影响力。,0.5,0.0,0.04993166357002923,4,0,0.0,0.45454545454545453
2021-05-14,LowVolatilityAgent,cooperate,0.3509090909090909,0.3509090909090909,0.28921331755496454,0.3390909090909091,0.2890909090909091,好友 6、可见消息 0、声誉 0.50，合作可提高信息融合。,0.5,0.0,0.05003400235112651,6,0,0.0,0.45454545454545453
2021-05-14,DrawdownBuyerAgent,independent,0.3109090909090909,0.2890909090909091,0.28883414556802,0.18272727272727274,0.3109090909090909,图密度 0.45、好友 4、收益 +0.00%，社交边际收益不足。,0.5,0.0,0.04992867679919748,4,0,0.0,0.45454545454545453
2021-05-14,RandomAgent,independent,0.4127272727272728,0.2272727272727273,0.2888448979430143,0.14636363636363636,0.4127272727272728,图密度 0.45、好友 2、收益 +0.00%，社交边际收益不足。,0.5,0.0,0.04993166357002923,2,0,0.0,0.45454545454545453
2021-05-14,CommitteeTeamAgent,cooperate,0.4509090909090909,0.4509090909090909,0.40909090909090906,0.2190909090909091,0.2890909090909091,好友 6、可见消息 0、声誉 0.50，合作可提高信息融合。,0.5,0.0,0.17819060347356747,6,0,0.0,0.45454545454545453
2021-05-14,DynamicTeamAgent,cooperate,0.4509090909090909,0.4509090909090909,0.40909090909090906,0.2190909090909091,0.2890909090909091,好友 6、可见消息 0、声誉 0.50，合作可提高信息融合。,0.5,0.0,0.1777090401340045,6,0,0.0,0.45454545454545453
2021-05-14,TruthfulReporterAgent,independent,0.34363636363636363,0.2963636363636364,0.3039500327180467,0.12818181818181817,0.34363636363636363,图密度 0.45、好友 1、收益 +0.00%，社交边际收益不足。,0.5,0.0,0.05412753434087156,1,0,0.0,0.45454545454545453
2021-05-14,PersuaderAgent,compete,0.4239500327180467,0.2272727272727273,0.4239500327180467,0.14636363636363636,0.33272727272727276,PageRank 0.054、收益 +0.00%，竞争可扩大影响力。,0.5,0.0,0.05412753434087156,2,0,0.0,0.45454545454545453
2021-05-14,FreeRiderAgent,independent,0.34363636363636363,0.19636363636363635,0.3039500327180467,0.24818181818181817,0.34363636363636363,图密度 0.45、好友 1、收益 +0.00%，社交边际收益不足。,0.5,0.0,0.05412753434087156,1,0,0.0,0.45454545454545453
