date,agent,ticker,side,shares,price,fee,note,notional,cash_after,equity_after
2021-05-14,MomentumAgent,000858,BUY,23,287.0,6.601,MomentumAgent: own strategy blended with communicated beliefs.,6601.0,93392.399,99993.399
2021-05-14,MomentumAgent,002415,BUY,308,60.69,18.692520000000002,MomentumAgent: own strategy blended with communicated beliefs.,18692.52,74681.18648,99974.70648000001
2021-05-14,MomentumAgent,002594,BUY,90,153.53,13.8177,MomentumAgent: own strategy blended with communicated beliefs.,13817.7,60849.66878000001,99960.88878000001
2021-05-14,MomentumAgent,300750,BUY,23,359.0,8.257,MomentumAgent: own strategy blended with communicated beliefs.,8257.0,52584.41178000001,99952.63178000001
2021-05-14,MomentumAgent,600036,BUY,237,54.98,13.030259999999998,MomentumAgent: own strategy blended with communicated beliefs.,13030.259999999998,39541.121520000015,99939.60152000001
2021-05-14,MomentumAgent,601899,BUY,3090,11.06,34.1754,MomentumAgent: own strategy blended with communicated beliefs.,34175.4,5331.546120000014,99905.42612000002
2021-05-14,MeanReversionAgent,000002,BUY,392,27.07,10.61144,MeanReversionAgent: own strategy blended with communicated beliefs.,10611.44,89377.94856,99989.38856
2021-05-14,MeanReversionAgent,000333,BUY,178,76.44,13.60632,MeanReversionAgent: own strategy blended with communicated beliefs.,13606.32,75758.02224,99975.78224
2021-05-14,MeanReversionAgent,002415,BUY,123,60.69,7.46487,MeanReversionAgent: own strategy blended with communicated beliefs.,7464.87,68285.68737,99968.31737
2021-05-14,MeanReversionAgent,002594,BUY,88,153.53,13.51064,MeanReversionAgent: own strategy blended with communicated beliefs.,13510.64,54761.53673,99954.80673000001
2021-05-14,MeanReversionAgent,300750,BUY,44,359.0,15.796000000000001,MeanReversionAgent: own strategy blended with communicated beliefs.,15796.0,38949.74073,99939.01073000001
2021-05-14,MeanReversionAgent,601899,BUY,3034,11.06,33.55604,MeanReversionAgent: own strategy blended with communicated beliefs.,33556.04,5360.144689999994,99905.45468999998
2021-05-14,LowVolatilityAgent,002415,BUY,483,60.69,29.31327,LowVolatilityAgent: own strategy blended with communicated beliefs.,29313.27,70657.41673,99970.68673
2021-05-14,LowVolatilityAgent,002594,BUY,119,153.53,18.27007,LowVolatilityAgent: own strategy blended with communicated beliefs.,18270.07,52369.07666,99952.41665999999
2021-05-14,LowVolatilityAgent,601899,BUY,3164,11.06,34.993840000000006,LowVolatilityAgent: own strategy blended with communicated beliefs.,34993.840000000004,17340.242819999992,99917.42281999998
2021-05-14,DrawdownBuyerAgent,000002,BUY,335,27.07,9.06845,DrawdownBuyerAgent: own strategy blended with communicated beliefs.,9068.45,90922.48155,99990.93155
