agent,strategy,fixed_identity,train_window_start,train_window_end,candidate_params_json,selected_params_json,validation_score,param_hash,status
MomentumAgent,MomentumAgent,MomentumAgent,2021-01-04,2021-05-06,"[{""long_lookback"": 40, ""short_lookback"": 10, ""short_weight"": 0.75}, {""long_lookback"": 60, ""short_lookback"": 20, ""short_weight"": 0.7}, {""long_lookback"": 90, ""short_lookback"": 30, ""short_weight"": 0.65}]","{""long_lookback"": 60, ""short_lookback"": 20, ""short_weight"": 0.7}",0.0010495898122195205,13adc6f7db40,trained_frozen
MeanReversionAgent,MeanReversionAgent,MeanReversionAgent,2021-01-04,2021-05-06,"[{""lookback"": 10}, {""lookback"": 20}, {""lookback"": 40}]","{""lookback"": 10}",-0.00036170552218911414,8e2694b2066d,trained_frozen
LowVolatilityAgent,LowVolatilityAgent,LowVolatilityAgent,2021-01-04,2021-05-06,"[{""trend_lookback"": 40, ""vol_lookback"": 20}, {""trend_lookback"": 40, ""vol_lookback"": 40}, {""trend_lookback"": 60, ""vol_lookback"": 60}]","{""trend_lookback"": 60, ""vol_lookback"": 60}",0.015784364034449987,007e2c9912c3,trained_frozen
DrawdownBuyerAgent,DrawdownBuyerAgent,DrawdownBuyerAgent,2021-01-04,2021-05-06,"[{""drawdown_lookback"": 60, ""rebound_lookback"": 5}, {""drawdown_lookback"": 120, ""rebound_lookback"": 5}, {""drawdown_lookback"": 180, ""rebound_lookback"": 10}]","{""drawdown_lookback"": 60, ""rebound_lookback"": 5}",-0.003561011705446867,4a9c01f14b97,trained_frozen
RandomAgent,RandomAgent,RandomAgent,2021-01-04,2021-05-06,{},{},,,not_trainable
CommitteeTeamAgent,CommitteeTeamAgent,CommitteeTeamAgent,2021-01-04,2021-05-06,{},{},,,not_trainable
CommitteeTeamAgent,MomentumAgent,MomentumAgent,2021-01-04,2021-05-06,"[{""long_lookback"": 40, ""short_lookback"": 10, ""short_weight"": 0.75}, {""long_lookback"": 60, ""short_lookback"": 20, ""short_weight"": 0.7}, {""long_lookback"": 90, ""short_lookback"": 30, ""short_weight"": 0.65}]","{""long_lookback"": 60, ""short_lookback"": 20, ""short_weight"": 0.7}",0.0010495898122195205,13adc6f7db40,trained_frozen
CommitteeTeamAgent,MeanReversionAgent,MeanReversionAgent,2021-01-04,2021-05-06,"[{""lookback"": 10}, {""lookback"": 20}, {""lookback"": 40}]","{""lookback"": 10}",-0.00036170552218911414,8e2694b2066d,trained_frozen
CommitteeTeamAgent,LowVolatilityAgent,LowVolatilityAgent,2021-01-04,2021-05-06,"[{""trend_lookback"": 40, ""vol_lookback"": 20}, {""trend_lookback"": 40, ""vol_lookback"": 40}, {""trend_lookback"": 60, ""vol_lookback"": 60}]","{""trend_lookback"": 60, ""vol_lookback"": 60}",0.015784364034449987,007e2c9912c3,trained_frozen
CommitteeTeamAgent,DrawdownBuyerAgent,DrawdownBuyerAgent,2021-01-04,2021-05-06,"[{""drawdown_lookback"": 60, ""rebound_lookback"": 5}, {""drawdown_lookback"": 120, ""rebound_lookback"": 5}, {""drawdown_lookback"": 180, ""rebound_lookback"": 10}]","{""drawdown_lookback"": 60, ""rebound_lookback"": 5}",-0.003561011705446867,4a9c01f14b97,trained_frozen
DynamicTeamAgent,DynamicTeamAgent,DynamicTeamAgent,2021-01-04,2021-05-06,{},{},,,not_trainable
DynamicTeamAgent,MomentumAgent,MomentumAgent,2021-01-04,2021-05-06,"[{""long_lookback"": 40, ""short_lookback"": 10, ""short_weight"": 0.75}, {""long_lookback"": 60, ""short_lookback"": 20, ""short_weight"": 0.7}, {""long_lookback"": 90, ""short_lookback"": 30, ""short_weight"": 0.65}]","{""long_lookback"": 60, ""short_lookback"": 20, ""short_weight"": 0.7}",0.0010495898122195205,13adc6f7db40,trained_frozen
DynamicTeamAgent,MeanReversionAgent,MeanReversionAgent,2021-01-04,2021-05-06,"[{""lookback"": 10}, {""lookback"": 20}, {""lookback"": 40}]","{""lookback"": 10}",-0.00036170552218911414,8e2694b2066d,trained_frozen
DynamicTeamAgent,LowVolatilityAgent,LowVolatilityAgent,2021-01-04,2021-05-06,"[{""trend_lookback"": 40, ""vol_lookback"": 20}, {""trend_lookback"": 40, ""vol_lookback"": 40}, {""trend_lookback"": 60, ""vol_lookback"": 60}]","{""trend_lookback"": 60, ""vol_lookback"": 60}",0.015784364034449987,007e2c9912c3,trained_frozen
DynamicTeamAgent,DrawdownBuyerAgent,DrawdownBuyerAgent,2021-01-04,2021-05-06,"[{""drawdown_lookback"": 60, ""rebound_lookback"": 5}, {""drawdown_lookback"": 120, ""rebound_lookback"": 5}, {""drawdown_lookback"": 180, ""rebound_lookback"": 10}]","{""drawdown_lookback"": 60, ""rebound_lookback"": 5}",-0.003561011705446867,4a9c01f14b97,trained_frozen
TruthfulReporterAgent,MomentumAgent,MomentumAgent,2021-01-04,2021-05-06,"[{""long_lookback"": 40, ""short_lookback"": 10, ""short_weight"": 0.75}, {""long_lookback"": 60, ""short_lookback"": 20, ""short_weight"": 0.7}, {""long_lookback"": 90, ""short_lookback"": 30, ""short_weight"": 0.65}]","{""long_lookback"": 60, ""short_lookback"": 20, ""short_weight"": 0.7}",0.0010495898122195205,13adc6f7db40,trained_frozen
PersuaderAgent,MeanReversionAgent,MeanReversionAgent,2021-01-04,2021-05-06,"[{""lookback"": 10}, {""lookback"": 20}, {""lookback"": 40}]","{""lookback"": 10}",-0.00036170552218911414,8e2694b2066d,trained_frozen
FreeRiderAgent,LowVolatilityAgent,LowVolatilityAgent,2021-01-04,2021-05-06,"[{""trend_lookback"": 40, ""vol_lookback"": 20}, {""trend_lookback"": 40, ""vol_lookback"": 40}, {""trend_lookback"": 60, ""vol_lookback"": 60}]","{""trend_lookback"": 60, ""vol_lookback"": 60}",0.015784364034449987,007e2c9912c3,trained_frozen
ContrarianAgent,DrawdownBuyerAgent,DrawdownBuyerAgent,2021-01-04,2021-05-06,"[{""drawdown_lookback"": 60, ""rebound_lookback"": 5}, {""drawdown_lookback"": 120, ""rebound_lookback"": 5}, {""drawdown_lookback"": 180, ""rebound_lookback"": 10}]","{""drawdown_lookback"": 60, ""rebound_lookback"": 5}",-0.003561011705446867,4a9c01f14b97,trained_frozen
SocialGraphAgent,DynamicTeamAgent,DynamicTeamAgent,2021-01-04,2021-05-06,{},{},,,not_trainable
SocialGraphAgent,MomentumAgent,MomentumAgent,2021-01-04,2021-05-06,"[{""long_lookback"": 40, ""short_lookback"": 10, ""short_weight"": 0.75}, {""long_lookback"": 60, ""short_lookback"": 20, ""short_weight"": 0.7}, {""long_lookback"": 90, ""short_lookback"": 30, ""short_weight"": 0.65}]","{""long_lookback"": 60, ""short_lookback"": 20, ""short_weight"": 0.7}",0.0010495898122195205,13adc6f7db40,trained_frozen
SocialGraphAgent,MeanReversionAgent,MeanReversionAgent,2021-01-04,2021-05-06,"[{""lookback"": 10}, {""lookback"": 20}, {""lookback"": 40}]","{""lookback"": 10}",-0.00036170552218911414,8e2694b2066d,trained_frozen
SocialGraphAgent,LowVolatilityAgent,LowVolatilityAgent,2021-01-04,2021-05-06,"[{""trend_lookback"": 40, ""vol_lookback"": 20}, {""trend_lookback"": 40, ""vol_lookback"": 40}, {""trend_lookback"": 60, ""vol_lookback"": 60}]","{""trend_lookback"": 60, ""vol_lookback"": 60}",0.015784364034449987,007e2c9912c3,trained_frozen
SocialGraphAgent,DrawdownBuyerAgent,DrawdownBuyerAgent,2021-01-04,2021-05-06,"[{""drawdown_lookback"": 60, ""rebound_lookback"": 5}, {""drawdown_lookback"": 120, ""rebound_lookback"": 5}, {""drawdown_lookback"": 180, ""rebound_lookback"": 10}]","{""drawdown_lookback"": 60, ""rebound_lookback"": 5}",-0.003561011705446867,4a9c01f14b97,trained_frozen
