event_id,date,event_time,source,event_type,agent,counterparty,channel,ticker,side,shares,price,notional,cash,equity,pnl,pnl_pct,detail,payload
1,2022-01-03,2022-01-03 09:30:01,social,friend_request,MomentumAgent,TruthfulReporterAgent,friend_request,,,0,0.0,0.0,,,,,第 1 轮：MomentumAgent 申请添加 TruthfulReporterAgent 为好友,"{""round"": 1, ""status"": ""pending""}"
2,2022-01-03,2022-01-03 09:30:02,social,friend_request,MomentumAgent,CommitteeTeamAgent,friend_request,,,0,0.0,0.0,,,,,第 1 轮：MomentumAgent 申请添加 CommitteeTeamAgent 为好友,"{""round"": 1, ""status"": ""pending""}"
3,2022-01-03,2022-01-03 09:30:03,social,friend_request,MeanReversionAgent,PersuaderAgent,friend_request,,,0,0.0,0.0,,,,,第 1 轮：MeanReversionAgent 申请添加 PersuaderAgent 为好友,"{""round"": 1, ""status"": ""pending""}"
4,2022-01-03,2022-01-03 09:30:04,social,friend_request,MeanReversionAgent,ContrarianAgent,friend_request,,,0,0.0,0.0,,,,,第 1 轮：MeanReversionAgent 申请添加 ContrarianAgent 为好友,"{""round"": 1, ""status"": ""pending""}"
5,2022-01-03,2022-01-03 09:30:05,social,friend_request,LowVolatilityAgent,FreeRiderAgent,friend_request,,,0,0.0,0.0,,,,,第 1 轮：LowVolatilityAgent 申请添加 FreeRiderAgent 为好友,"{""round"": 1, ""status"": ""pending""}"
6,2022-01-03,2022-01-03 09:30:06,social,friend_request,LowVolatilityAgent,CommitteeTeamAgent,friend_request,,,0,0.0,0.0,,,,,第 1 轮：LowVolatilityAgent 申请添加 CommitteeTeamAgent 为好友,"{""round"": 1, ""status"": ""pending""}"
7,2022-01-03,2022-01-03 09:30:07,social,friend_request,DrawdownBuyerAgent,ContrarianAgent,friend_request,,,0,0.0,0.0,,,,,第 1 轮：DrawdownBuyerAgent 申请添加 ContrarianAgent 为好友,"{""round"": 1, ""status"": ""pending""}"
8,2022-01-03,2022-01-03 09:30:08,social,friend_request,DrawdownBuyerAgent,CommitteeTeamAgent,friend_request,,,0,0.0,0.0,,,,,第 1 轮：DrawdownBuyerAgent 申请添加 CommitteeTeamAgent 为好友,"{""round"": 1, ""status"": ""pending""}"
9,2022-01-03,2022-01-03 09:30:09,social,friend_request,RandomAgent,CommitteeTeamAgent,friend_request,,,0,0.0,0.0,,,,,第 1 轮：RandomAgent 申请添加 CommitteeTeamAgent 为好友,"{""round"": 1, ""status"": ""pending""}"
10,2022-01-03,2022-01-03 09:30:10,social,friend_request,RandomAgent,DynamicTeamAgent,friend_request,,,0,0.0,0.0,,,,,第 1 轮：RandomAgent 申请添加 DynamicTeamAgent 为好友,"{""round"": 1, ""status"": ""pending""}"
11,2022-01-03,2022-01-03 09:30:11,social,friend_request,CommitteeTeamAgent,MomentumAgent,friend_request,,,0,0.0,0.0,,,,,第 1 轮：CommitteeTeamAgent 申请添加 MomentumAgent 为好友,"{""round"": 1, ""status"": ""pending""}"
12,2022-01-03,2022-01-03 09:30:12,social,friend_request,CommitteeTeamAgent,MeanReversionAgent,friend_request,,,0,0.0,0.0,,,,,第 1 轮：CommitteeTeamAgent 申请添加 MeanReversionAgent 为好友,"{""round"": 1, ""status"": ""pending""}"
13,2022-01-03,2022-01-03 09:30:13,social,friend_request,DynamicTeamAgent,MomentumAgent,friend_request,,,0,0.0,0.0,,,,,第 1 轮：DynamicTeamAgent 申请添加 MomentumAgent 为好友,"{""round"": 1, ""status"": ""pending""}"
14,2022-01-03,2022-01-03 09:30:14,social,friend_request,DynamicTeamAgent,MeanReversionAgent,friend_request,,,0,0.0,0.0,,,,,第 1 轮：DynamicTeamAgent 申请添加 MeanReversionAgent 为好友,"{""round"": 1, ""status"": ""pending""}"
15,2022-01-03,2022-01-03 09:30:15,social,friend_request,TruthfulReporterAgent,MomentumAgent,friend_request,,,0,0.0,0.0,,,,,第 1 轮：TruthfulReporterAgent 申请添加 MomentumAgent 为好友,"{""round"": 1, ""status"": ""pending""}"
16,2022-01-03,2022-01-03 09:30:16,social,friend_request,TruthfulReporterAgent,CommitteeTeamAgent,friend_request,,,0,0.0,0.0,,,,,第 1 轮：TruthfulReporterAgent 申请添加 CommitteeTeamAgent 为好友,"{""round"": 1, ""status"": ""pending""}"
