date,ticker,open,high,low,close,volume
2023-01-02,AAPL,129.89,131.97,128.11,131.21,7997431
2023-01-03,AAPL,132.45,133.37,130.15,130.7,11343461
2023-01-04,AAPL,130.34,130.62,127.42,129.66,4088901
2023-01-05,AAPL,128.87,129.23,127.34,128.39,4706538
2023-01-06,AAPL,128.22,131.9,126.57,131.82,6955392
2023-01-09,AAPL,130.91,132.58,130.2,132.13,7793010
2023-01-10,AAPL,133.6,133.62,129.5,130.75,12866598
2023-01-11,AAPL,130.91,133.22,126.39,127.92,9709230
2023-01-12,AAPL,128.05,129.8,127.7,129.66,4568361
2023-01-13,AAPL,129.31,130.54,127.63,128.03,4019354
2023-01-16,AAPL,127.73,129.61,127.03,128.82,14131964
2023-01-17,AAPL,128.17,131.39,127.79,131.03,13783672
2023-01-18,AAPL,130.88,132.18,128.54,129.94,12808718
2023-01-19,AAPL,129.88,134.36,129.46,133.16,6647132
2023-01-20,AAPL,134.39,134.43,132.18,134.07,2733558
2023-01-23,AAPL,134.14,136.47,134.03,136.1,3633089
2023-01-24,AAPL,136.39,138.21,134.98,135.61,6175978
2023-01-25,AAPL,136.36,136.76,133.79,134.43,11194916
2023-01-26,AAPL,135.22,136.07,134.32,134.72,7448709
2023-01-27,AAPL,134.96,135.27,131.21,131.21,7995870
2023-01-30,AAPL,130.88,131.29,126.99,127.92,8264017
2023-01-31,AAPL,129.36,129.57,128.59,128.89,8593351
2023-02-01,AAPL,128.87,128.94,121.73,124.49,8149259
2023-02-02,AAPL,124.46,126.52,123.18,125.2,12464184
2023-02-03,AAPL,124.52,128.64,122.95,127.03,11571846
2023-02-06,AAPL,126.28,132.76,126.16,132.08,7084614
2023-02-07,AAPL,132.14,133.4,127.9,128.44,5875249
2023-02-08,AAPL,127.84,132.46,126.9,132.07,5106940
2023-02-09,AAPL,133.11,135.03,132.44,132.66,9988522
2023-02-10,AAPL,131.67,136.17,131.06,134.57,10156689
2023-02-13,AAPL,134.85,136.05,134.57,135.23,10138824
2023-02-14,AAPL,136.74,137.32,132.1,133.54,11940530
2023-02-15,AAPL,134.17,135.56,130.27,131.24,13708398
2023-02-16,AAPL,131.89,134.52,131.6,132.26,6330050
2023-02-17,AAPL,131.61,131.7,129.79,130.19,10064358
2023-02-20,AAPL,130.2,133.9,129.89,132.17,30221861
2023-02-21,AAPL,131.49,135.0,130.92,133.71,8035997
2023-02-22,AAPL,134.09,135.56,133.07,135.47,4494292
2023-02-23,AAPL,136.17,136.43,132.92,134.43,9606316
