date,agent,equity,cash
2023-01-02,MomentumAgent,100000.0,100000.0
2023-01-03,MomentumAgent,100000.0,100000.0
2023-01-04,MomentumAgent,100000.0,100000.0
2023-01-05,MomentumAgent,100000.0,100000.0
2023-01-06,MomentumAgent,100000.0,100000.0
2023-01-09,MomentumAgent,100000.0,100000.0
2023-01-10,MomentumAgent,100000.0,100000.0
2023-01-11,MomentumAgent,100000.0,100000.0
2023-01-12,MomentumAgent,100000.0,100000.0
2023-01-13,MomentumAgent,100000.0,100000.0
2023-01-16,MomentumAgent,100000.0,100000.0
2023-01-17,MomentumAgent,100000.0,100000.0
2023-01-18,MomentumAgent,100000.0,100000.0
2023-01-19,MomentumAgent,100000.0,100000.0
2023-01-20,MomentumAgent,100000.0,100000.0
2023-01-23,MomentumAgent,100000.0,100000.0
2023-01-24,MomentumAgent,100000.0,100000.0
2023-01-25,MomentumAgent,100000.0,100000.0
2023-01-26,MomentumAgent,100000.0,100000.0
2023-01-27,MomentumAgent,100000.0,100000.0
2023-01-30,MomentumAgent,100000.0,100000.0
2023-01-31,MomentumAgent,100000.0,100000.0
2023-02-01,MomentumAgent,100000.0,100000.0
2023-02-02,MomentumAgent,100000.0,100000.0
2023-02-03,MomentumAgent,100000.0,100000.0
2023-02-06,MomentumAgent,100000.0,100000.0
2023-02-07,MomentumAgent,100000.0,100000.0
2023-02-08,MomentumAgent,100000.0,100000.0
2023-02-09,MomentumAgent,100000.0,100000.0
2023-02-10,MomentumAgent,100000.0,100000.0
2023-02-13,MomentumAgent,100000.0,100000.0
2023-02-14,MomentumAgent,100000.0,100000.0
2023-02-15,MomentumAgent,100000.0,100000.0
2023-02-16,MomentumAgent,100000.0,100000.0
2023-02-17,MomentumAgent,100000.0,100000.0
2023-02-20,MomentumAgent,100000.0,100000.0
2023-02-21,MomentumAgent,100000.0,100000.0
2023-02-22,MomentumAgent,100000.0,100000.0
2023-02-23,MomentumAgent,100000.0,100000.0
2023-02-24,MomentumAgent,100000.0,100000.0
2023-02-27,MomentumAgent,100000.0,100000.0
2023-02-28,MomentumAgent,100000.0,100000.0
2023-03-01,MomentumAgent,100000.0,100000.0
2023-03-02,MomentumAgent,100000.0,100000.0
2023-03-03,MomentumAgent,100000.0,100000.0
2023-03-06,MomentumAgent,100000.0,100000.0
2023-03-07,MomentumAgent,100000.0,100000.0
2023-03-08,MomentumAgent,100000.0,100000.0
2023-03-09,MomentumAgent,100000.0,100000.0
2023-03-10,MomentumAgent,100000.0,100000.0
2023-03-13,MomentumAgent,100000.0,100000.0
2023-03-14,MomentumAgent,100000.0,100000.0
2023-03-15,MomentumAgent,100000.0,100000.0
2023-03-16,MomentumAgent,100000.0,100000.0
