agent,total_return,annual_return,annual_volatility,sharpe,max_drawdown,days
LowVolatilityAgent,0.6426586036999986,0.1734383006380822,0.17873461152092116,0.9703677377438503,-0.16110414840211507,782
CommitteeTeamAgent,0.520151459,0.14449304315915268,0.1653227816915659,0.8740056372189879,-0.17927027183017474,782
DynamicTeamAgent,0.520151459,0.14449304315915268,0.1653227816915659,0.8740056372189879,-0.17927027183017474,782
FreeRiderAgent,0.5517823964000004,0.1521137347741066,0.18729633146746444,0.8121554414990266,-0.17170843041255301,782
ContrarianAgent,0.49834762480000006,0.13917715587144164,0.18475103503811846,0.7533227396681492,-0.20568378429715772,782
MomentumAgent,0.49001392409999966,0.13713150880509994,0.188718795293588,0.7266446810015175,-0.15444812753456805,782
SocialGraphAgent,0.4285779379000003,0.12180634826907522,0.1717499807684508,0.709207347355058,-0.19524184771240272,782
DrawdownBuyerAgent,0.3871817342999999,0.1112264410310142,0.18135864677371252,0.6132954949194966,-0.22360534048828107,782
TruthfulReporterAgent,0.37278359539999983,0.10749649006420436,0.18963023722500164,0.5668742054921164,-0.17444654127259784,782
RandomAgent,0.1955030412999994,0.059231183770588114,0.15802702488650014,0.3748167999310863,-0.21157270376848136,782
PersuaderAgent,0.21561034610000007,0.06493976917718003,0.18376349398154657,0.35338775820022905,-0.28437547277465813,782
MeanReversionAgent,0.11084864410000095,0.034456701076080565,0.17230059273874393,0.19998016564183616,-0.26813761984185824,782
